Date,AdjClose,Target
2025-06-10,56.60,58.50
2025-06-11,56.63,58.50
2025-06-12,56.85,58.50
2025-06-13,56.65,58.50
2025-06-14,56.17,58.50
2025-06-15,56.61,58.50
2025-06-16,56.67,58.50
2025-06-17,57.12,58.50
2025-06-18,56.94,58.50
2025-06-19,57.45,58.50
2025-06-20,58.06,58.50
2025-06-21,57.86,58.50
2025-06-22,58.20,58.50
2025-06-23,57.63,58.50
2025-06-24,57.79,58.50
2025-06-25,57.51,58.50
2025-06-26,57.57,58.50
2025-06-27,58.09,58.50
2025-06-28,58.59,58.50
2025-06-29,58.05,58.50
2025-06-30,57.75,58.50
2025-07-01,57.16,58.50
2025-07-02,56.87,58.50
2025-07-03,56.44,58.50
2025-07-04,56.98,58.50
2025-07-05,56.40,58.50
2025-07-06,56.90,58.50
2025-07-07,56.69,58.50
2025-07-08,56.72,58.50
2025-07-09,57.27,58.50
2025-07-10,57.83,58.50
2025-07-11,57.76,58.50
2025-07-12,58.19,58.50
2025-07-13,58.46,58.50
2025-07-14,58.26,58.50
2025-07-15,58.03,58.50
2025-07-16,58.12,58.50
2025-07-17,58.50,58.50
2025-07-18,58.09,58.50
2025-07-19,57.97,58.50
2025-07-20,57.65,58.50
2025-07-21,57.49,58.50
2025-07-22,58.02,58.50
2025-07-23,57.97,58.50
2025-07-24,58.15,58.50
2025-07-25,57.76,58.50
2025-07-26,58.17,58.50
2025-07-27,58.19,58.50
2025-07-28,57.91,58.50
2025-07-29,58.13,58.50
2025-07-30,58.72,58.50
2025-07-31,59.26,58.50
2025-08-01,59.30,58.50
2025-08-02,59.76,58.50
2025-08-03,59.51,58.50
2025-08-04,59.24,58.50
2025-08-05,58.93,58.50
2025-08-06,59.05,58.50
2025-08-07,58.67,58.50
2025-08-08,58.47,58.50
2025-08-09,58.49,61.10
2025-08-10,58.70,61.10
2025-08-11,59.28,61.10
2025-08-12,59.14,61.10
2025-08-13,58.57,61.10
2025-08-14,58.01,61.10
2025-08-15,58.43,61.10
2025-08-16,58.26,61.10
2025-08-17,58.01,61.10
2025-08-18,57.43,61.10
2025-08-19,57.08,61.10
2025-08-20,57.29,61.10
2025-08-21,56.99,61.10
2025-08-22,56.47,61.10
2025-08-23,56.66,61.10
2025-08-24,56.26,61.10
2025-08-25,55.92,61.10
2025-08-26,56.03,61.10
2025-08-27,55.74,61.10
2025-08-28,55.37,61.10
2025-08-29,55.29,61.10
2025-08-30,55.39,61.10
2025-08-31,55.10,61.10
2025-09-01,54.52,61.10
2025-09-02,55.05,61.10
2025-09-03,54.55,61.10
2025-09-04,54.33,61.10
2025-09-05,54.35,61.10
2025-09-06,54.38,61.10
2025-09-07,53.87,61.10
2025-09-08,54.22,61.10
2025-09-09,54.45,61.10
2025-09-10,54.36,61.10
2025-09-11,54.68,61.10
2025-09-12,54.26,61.10
2025-09-13,53.71,61.10
2025-09-14,53.42,61.10
2025-09-15,53.35,61.10
2025-09-16,53.36,61.10
2025-09-17,53.55,61.10
2025-09-18,53.29,61.10
2025-09-19,52.95,61.10
2025-09-20,53.53,61.10
2025-09-21,53.05,61.10
2025-09-22,52.66,61.10
2025-09-23,52.31,61.10
2025-09-24,52.85,61.10
2025-09-25,53.29,61.10
2025-09-26,53.82,61.10
2025-09-27,53.65,61.10
2025-09-28,53.16,61.10
2025-09-29,52.87,61.10
2025-09-30,53.40,61.10
2025-10-01,52.87,61.10
2025-10-02,53.29,61.10
2025-10-03,53.60,61.10
2025-10-04,53.10,61.10
2025-10-05,53.14,61.10
2025-10-06,53.14,61.10
2025-10-07,53.16,61.10
2025-10-08,53.33,61.10
2025-10-09,53.57,61.10
2025-10-10,53.13,61.10
2025-10-11,53.15,61.10
2025-10-12,53.70,61.10
2025-10-13,53.35,61.10
2025-10-14,53.76,61.10
2025-10-15,53.83,61.10
2025-10-16,54.39,61.10
2025-10-17,54.87,61.10
2025-10-18,55.20,61.10
2025-10-19,55.07,61.10
2025-10-20,54.67,61.10
2025-10-21,55.24,61.10
2025-10-22,54.92,61.10
2025-10-23,55.48,61.10
2025-10-24,55.41,61.10
2025-10-25,55.57,61.10
2025-10-26,55.39,61.10
2025-10-27,55.68,61.10
2025-10-28,55.22,61.10
2025-10-29,54.69,61.10
2025-10-30,55.01,61.10
2025-10-31,54.99,61.10
2025-11-01,54.99,61.10
2025-11-02,54.85,61.10
2025-11-03,55.15,61.10
2025-11-04,54.94,61.10
2025-11-05,54.50,61.10
2025-11-06,54.73,61.10
2025-11-07,54.94,63.83
2025-11-08,54.53,63.83
2025-11-09,54.32,63.83
2025-11-10,53.93,63.83
2025-11-11,54.15,63.83
2025-11-12,53.64,63.83
2025-11-13,54.09,63.83
2025-11-14,54.67,63.83
2025-11-15,55.24,63.83
2025-11-16,54.70,63.83
2025-11-17,54.32,63.83
2025-11-18,54.10,63.83
2025-11-19,54.40,63.83
2025-11-20,54.83,63.83
2025-11-21,54.86,63.83
2025-11-22,54.87,63.83
2025-11-23,54.31,63.83
2025-11-24,54.26,63.83
2025-11-25,54.10,63.83
2025-11-26,54.29,63.83
2025-11-27,53.76,63.83
2025-11-28,54.03,63.83
2025-11-29,53.93,63.83
2025-11-30,53.81,63.83
2025-12-01,53.71,63.83
2025-12-02,54.06,63.83
2025-12-03,54.24,63.83
2025-12-04,54.47,63.83
2025-12-05,54.93,63.83
2025-12-06,54.91,63.83
2025-12-07,54.37,63.83
2025-12-08,54.32,63.83
2025-12-09,53.94,63.83
2025-12-10,54.48,63.83
2025-12-11,54.61,63.83
2025-12-12,54.70,63.83
2025-12-13,54.77,63.83
2025-12-14,55.34,63.83
2025-12-15,55.45,63.83
2025-12-16,55.52,63.83
2025-12-17,55.93,63.83
2025-12-18,55.86,63.83
2025-12-19,56.14,63.83
2025-12-20,55.59,63.83
2025-12-21,55.80,63.83
2025-12-22,56.25,63.83
2025-12-23,56.28,63.83
2025-12-24,56.89,63.83
2025-12-25,56.90,63.83
2025-12-26,57.43,63.83
2025-12-27,57.13,63.83
2025-12-28,57.53,63.83
