Date,AdjClose,Target
2025-06-10,184.29,175.50
2025-06-11,185.11,175.50
2025-06-12,183.48,175.50
2025-06-13,183.94,175.50
2025-06-14,182.47,175.50
2025-06-15,182.33,175.50
2025-06-16,182.71,175.50
2025-06-17,181.46,175.50
2025-06-18,181.35,175.50
2025-06-19,181.11,175.50
2025-06-20,181.01,175.50
2025-06-21,179.56,175.50
2025-06-22,181.00,175.50
2025-06-23,180.23,175.50
2025-06-24,178.78,175.50
2025-06-25,179.57,175.50
2025-06-26,179.88,175.50
2025-06-27,181.19,175.50
2025-06-28,180.75,175.50
2025-06-29,179.64,175.50
2025-06-30,178.21,175.50
2025-07-01,179.68,175.50
2025-07-02,179.88,175.50
2025-07-03,179.39,175.50
2025-07-04,179.67,175.50
2025-07-05,180.26,175.50
2025-07-06,181.72,175.50
2025-07-07,181.90,175.50
2025-07-08,181.65,175.50
2025-07-09,182.23,175.50
2025-07-10,180.94,175.50
2025-07-11,180.76,175.50
2025-07-12,182.02,175.50
2025-07-13,182.89,175.50
2025-07-14,182.90,175.50
2025-07-15,183.36,175.50
2025-07-16,182.64,175.50
2025-07-17,181.88,175.50
2025-07-18,183.00,175.50
2025-07-19,181.89,175.50
2025-07-20,183.13,175.50
2025-07-21,184.33,175.50
2025-07-22,185.31,175.50
2025-07-23,184.25,175.50
2025-07-24,183.22,175.50
2025-07-25,183.70,175.50
2025-07-26,182.89,175.50
2025-07-27,181.84,175.50
2025-07-28,182.37,175.50
2025-07-29,182.82,175.50
2025-07-30,183.87,175.50
2025-07-31,185.00,175.50
2025-08-01,185.98,175.50
2025-08-02,184.54,175.50
2025-08-03,186.00,175.50
2025-08-04,185.01,175.50
2025-08-05,184.65,175.50
2025-08-06,185.88,175.50
2025-08-07,185.79,175.50
2025-08-08,184.59,175.50
2025-08-09,184.71,183.30
2025-08-10,184.27,183.30
2025-08-11,184.10,183.30
2025-08-12,184.42,183.30
2025-08-13,184.39,183.30
2025-08-14,185.59,183.30
2025-08-15,186.47,183.30
2025-08-16,187.55,183.30
2025-08-17,189.06,183.30
2025-08-18,187.76,183.30
2025-08-19,186.63,183.30
2025-08-20,186.42,183.30
2025-08-21,187.37,183.30
2025-08-22,186.44,183.30
2025-08-23,185.02,183.30
2025-08-24,185.72,183.30
2025-08-25,187.04,183.30
2025-08-26,187.13,183.30
2025-08-27,185.93,183.30
2025-08-28,184.58,183.30
2025-08-29,184.65,183.30
2025-08-30,184.34,183.30
2025-08-31,185.02,183.30
2025-09-01,183.75,183.30
2025-09-02,183.99,183.30
2025-09-03,184.63,183.30
2025-09-04,183.90,183.30
2025-09-05,183.54,183.30
2025-09-06,184.78,183.30
2025-09-07,183.08,183.30
2025-09-08,181.57,183.30
2025-09-09,182.04,183.30
2025-09-10,182.52,183.30
2025-09-11,181.54,183.30
2025-09-12,180.07,183.30
2025-09-13,180.81,183.30
2025-09-14,181.59,183.30
2025-09-15,180.09,183.30
2025-09-16,181.18,183.30
2025-09-17,179.68,183.30
2025-09-18,180.85,183.30
2025-09-19,179.71,183.30
2025-09-20,180.24,183.30
2025-09-21,180.30,183.30
2025-09-22,181.03,183.30
2025-09-23,180.69,183.30
